SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
3648,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84903,,GRANT AND LOAN ADMINISTRATION
3649,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84904,,PUBLIC INFORMATION SERVICES
3650,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84905,,LOCAL GOVERNMENT MANAGEMENT RELATIONS
3651,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84906,,INFORMATION SYSTEMS MAINTENANCE
3652,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84907,,TECHNOLOGY TRANSITION AND DEVELOPMENT
3653,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84908,,SAVINGS-GOVERNOR'S COMM EFFICIENCY/EFFECTIVENESS
3654,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84909,,COMPUTER SERVICES
3655,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84910,,MEDICAL AND CLINICAL SERVICES
3656,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84911,,TEACHER MANAGEMENT AND DIRECTION
3657,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84913,,FINANCIAL ASST FOR SCH EMP SOCIAL SECURITY CONTB
3658,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84914,,INCENTIVE PAYMENTS
3659,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84915,,REMEDIAL EDUCATION PAYMENTS
3660,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84916,,STANDARDS OF LEARNING INSTRUCTIONAL MATERIALS
3661,4,INDIVIDUAL AND FAMILY SERVICES,403,MEDICAL EXAMINER AND ANATOMICAL SERVICES,40300,,COMPENSATION SUPPLEMENTS
3662,4,INDIVIDUAL AND FAMILY SERVICES,404,VITAL RECORDS AND HEALTH STATISTICS,40400,,STATE EDUCATION SERVICES FOR ADULT EDUCATION
3664,4,INDIVIDUAL AND FAMILY SERVICES,406,HEALTH RESEARCH/PLANNING/COORDINATION,40600,,STATE EDUCATION REGIONAL SERVICES
3665,4,INDIVIDUAL AND FAMILY SERVICES,407,FINANCIAL ASSISTANCE FOR HEALTH RESEARCH,40700,,GIFTED AND TALENTED INSTRUCTION
3666,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41900,,MEDICAL AND CLINICAL SERVICES
3667,4,INDIVIDUAL AND FAMILY SERVICES,420,SPECIAL HEALTH IMPROVEMENT AND DEMONSTRATION SVCS,42000,,PUBLIC INFORMATION SERVICES
3668,4,INDIVIDUAL AND FAMILY SERVICES,430,STATE HEALTH SERVICES,43000,,VESSEL OPERATION SERVICES
3669,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44000,,CONTINGENT PERSONAL PROPERTY TAX RELIEF PGM
3670,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44500,,SUPPLEMENTAL RETIREMENT (LOCAL)
3672,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44900,,LEGISLATIVE EVALUATION AND REVIEW
3673,7,GENERAL GOVERNMENT,722,DISASTER PLANNING AND OPERATIONS,72200,,INDUSTRIAL SERVICES
3674,7,GENERAL GOVERNMENT,723,ELECTORAL SERVICES,72300,,DISBURSEMENT OF LOTTERY PRIZE PAYMENTS
3675,7,GENERAL GOVERNMENT,724,FINANCIAL SYSTEMS DEVELOPMENT AND MANAGEMENT,72400,,SERVICE CENTER ADMINISTRATION
3676,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45000,,DENTISTRY INSTRUCTION
3679,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79927,,COAL & ENERGY RESEARCH
3680,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79928,,COMMUNITY SERVICES
3682,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44006,,LIBRARIES
3683,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44007,,SOCIAL AND CULTURAL DEVELOPMENT
3684,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41915,,LOGISTICAL SERVICES
3685,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41916,,PROPERTY RENTALS
3686,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41917,,EMINENT SCHOLARS
3687,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44008,,OUTSTANDING FACULTY RECOGNITION
3690,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41918,,REGULATION OF PRIVATE & OUT-OF-STATE INSTITUTIONS
3691,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41919,,FILTRATION AND TREATMENT PLANT OPERATION
3692,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41920,,PHYSICAL PLANT SERVICES
3693,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44011,,SECURITY SERVICES
3694,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44012,,PERFORMING ARTS PRESENTATIONS
3695,4,INDIVIDUAL AND FAMILY SERVICES,440,COMMUNITY HEALTH SERVICES,44099,,EDUCATIONAL & CULTURAL PRODUCTIONS & PRESENTATIONS
3696,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41921,,GENERAL MANAGEMENT AND DIRECTION
3697,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41922,,LINEN AND LAUNDRY SERVICES
3698,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41923,,PROCUREMENT AND DISTRIBUTION SERVICES
3700,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44502,,TRANSPORTATION SERVICES
3701,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35004,,FINANCIAL ASST FOR GENERAL EDUCATION INSTRUCTION
3702,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35005,,FINANCIAL ASSISTANCE FOR DROPOUT PREVENTION
3703,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35006,,GENERAL MANAGEMENT AND DIRECTION
3704,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84917,,LINEN AND LAUNDRY SERVICES
3705,8,ENTERPRISES,849,ADMINISTRATIVE AND SUPPORT SERVICES,84918,,COORDINATION OF INTENSIFIED DRUG ENFORCEMENT SVCS
3707,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35007,,OTHER SERVICES
3708,3,ADMINISTRATION OF JUSTICE,350,COMMUNITY-BASED CUSTODY,35099,,FILTRATION AND TREATMENT PLANT OPERATION
3709,3,ADMINISTRATION OF JUSTICE,351,PROBATION AND RE-ENTRY SERVICES,35101,,PHYSICAL PLANT SERVICES
3710,3,ADMINISTRATION OF JUSTICE,351,PROBATION AND RE-ENTRY SERVICES,35102,,SECURITY SERVICES
3711,3,ADMINISTRATION OF JUSTICE,351,PROBATION AND RE-ENTRY SERVICES,35103,,STATE AGENCY/LOCAL LEGAL ASSISTANCE AND ADVICE
3713,4,INDIVIDUAL AND FAMILY SERVICES,453,PROTECTIVE SERVICES,45300,,FINANCIAL ASSISTANCE-LOCAL CIRCUIT COURT CLERKS
3714,4,INDIVIDUAL AND FAMILY SERVICES,454,REHABILITATION ASSISTANCE SERVICES,45400,,OTHER SERVICES
3715,4,INDIVIDUAL AND FAMILY SERVICES,455,INDIVIDUAL CARE SERVICES,45500,,SPECIALIZED ADJUDICATORY TRAINING
3717,4,INDIVIDUAL AND FAMILY SERVICES,457,NUTRITIONAL SERVICES,45700,,COMPUTER SERVICES
3718,4,INDIVIDUAL AND FAMILY SERVICES,458,HOUSING ASSISTANCE SERVICES,45800,,MEDICAL AND CLINICAL SERVICES
3719,4,INDIVIDUAL AND FAMILY SERVICES,459,INDIGENT HEALTH CARE TRUST FUND,45900,,RESIDENTIAL SERVICES
3721,7,GENERAL GOVERNMENT,725,"INVESTMENT, TRUST AND INSURANCE SERVICES",72500,,ADULT PROBATION & PAROLE SVCS COORDINATION
3722,7,GENERAL GOVERNMENT,726,LABORATORY SERVICES,72600,,OTHER SERVICES
3724,7,GENERAL GOVERNMENT,728,FIN ASSIST TO LOCALITIES - GENERAL,72800,,OFFENDER CLASSIFICATION/TIME COMPUTATION SERVICES
3725,7,GENERAL GOVERNMENT,729,OIL OVERCHARGE EXPENDABLE TRUST FUND,72900,,CLASSIFICATION & RECORDS MANAGEMENT
3726,7,GENERAL GOVERNMENT,730,PROCUREMENT SERVICES,73000,,FILTRATION AND TREATMENT PLANT OPERATION
3727,7,GENERAL GOVERNMENT,731,FEDERAL RETIREE TAX RESERVE,73100,,PHYSICAL PLANT SERVICES
3728,7,GENERAL GOVERNMENT,732,REVENUE ADMINISTRATION SERVICES,73200,,SECURITY SERVICES
3729,7,GENERAL GOVERNMENT,733,SECURITY FOR PUBLIC DEPOSITS,73300,,FIN ASSIST TO ST AGEN FOR ADMIN OF JUSTICE SERV
3730,7,GENERAL GOVERNMENT,734,TAX VALUE ASSISTANCE TO LOCALITIES,73400,,OTHER SERVICES
3731,7,GENERAL GOVERNMENT,735,REVENUE STABILIZATION FUND,73500,,OTHER SERVICES
3732,7,GENERAL GOVERNMENT,736,VIRGINIA EDUCATION LOAN RESERVE FUND,73600,,ADMINISTRATION SERVICES
3733,7,GENERAL GOVERNMENT,799,ADMINISTRATIVE AND SUPPORT SERVICES,79999,,GENERAL MANAGEMENT AND DIRECTION
3736,7,GENERAL GOVERNMENT,737,ACCOUNTING SERVICES,73700,,LINEN AND LAUNDRY SERVICES
3737,7,GENERAL GOVERNMENT,738,CENTRAL RECORDS RETENTION SERVICES,73800,,PROCUREMENT AND DISTRIBUTION SERVICES
3738,7,GENERAL GOVERNMENT,739,DEFERRED MAINTENANCE,73900,,TRANSPORTATION SERVICES
3739,7,GENERAL GOVERNMENT,740,COLLECTION SERVICES,74000,,ARCHITECTURAL AND ENGINEERING SERVICES
3744,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41924,,NURSING MANAGEMENT AND DIRECTION
3745,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41925,,RECREATION SERVICES
3746,4,INDIVIDUAL AND FAMILY SERVICES,419,ADMINISTRATIVE AND SUPPORT SERVICES,41926,,OTHER SERVICES
3747,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44503,,PERFORMANCE AUDITS AND EVALUATION
3748,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44504,,MEDICAL AND CLINICAL SERVICES
3749,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44505,,PUBLIC INFORMATION SERVICES
3754,4,INDIVIDUAL AND FAMILY SERVICES,457,NUTRITIONAL SERVICES,45704,,VESSEL OPERATION SERVICES
3755,4,INDIVIDUAL AND FAMILY SERVICES,457,NUTRITIONAL SERVICES,45705,,COMMUNITY CUSTODY & TREATMENT SVCS COORDINATION
3756,4,INDIVIDUAL AND FAMILY SERVICES,457,NUTRITIONAL SERVICES,45706,,OTHER SERVICES
3757,4,INDIVIDUAL AND FAMILY SERVICES,457,NUTRITIONAL SERVICES,45707,,CARTON PRODUCTION
3761,4,INDIVIDUAL AND FAMILY SERVICES,461,CONTINUING INCOME ASSISTANCE SERVICES,46100,,WOODWORKS
3762,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46200,,FOOD SERVICES
3763,4,INDIVIDUAL AND FAMILY SERVICES,463,CHILD SUPPORT ENFORCEMENT SERVICES,46300,,STUDENT HEALTH SERVICES
3764,7,GENERAL GOVERNMENT,742,PHYSICAL PLANT RENTAL AND OFFICE RELOCATION,74200,,DATA CONVERSION SERVICES
3765,7,GENERAL GOVERNMENT,743,BOND AND LOAN RETIREMENT AND REDEMPTION,74300,,LOTTERY TICKET VALIDATION
3767,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46400,,FOOD AND DIETARY SERVICES
3768,4,INDIVIDUAL AND FAMILY SERVICES,465,GRANTS FOR NEEDY FAMILIES,46500,,PLANNING AND EVALUATION SERVICES
3770,4,INDIVIDUAL AND FAMILY SERVICES,457,NUTRITIONAL SERVICES,45799,,TEACHER MANAGEMENT AND DIRECTION
3771,4,INDIVIDUAL AND FAMILY SERVICES,458,HOUSING ASSISTANCE SERVICES,45801,,SYSTEMS ENGINEERING SUPPORT
3772,4,INDIVIDUAL AND FAMILY SERVICES,458,HOUSING ASSISTANCE SERVICES,45802,,OTHER SERVICES
3773,4,INDIVIDUAL AND FAMILY SERVICES,458,HOUSING ASSISTANCE SERVICES,45803,,FILTRATION AND TREATMENT PLANT OPERATION
3775,4,INDIVIDUAL AND FAMILY SERVICES,458,HOUSING ASSISTANCE SERVICES,45805,,PHYSICAL PLANT SERVICES
3776,4,INDIVIDUAL AND FAMILY SERVICES,458,HOUSING ASSISTANCE SERVICES,45899,,INTERSTATE CONSTRUCTION
3778,4,INDIVIDUAL AND FAMILY SERVICES,459,INDIGENT HEALTH CARE TRUST FUND,45902,,TRANSPORTATION IMPROVEMENT DISTRICT DEBT SVC
3779,4,INDIVIDUAL AND FAMILY SERVICES,459,INDIGENT HEALTH CARE TRUST FUND,45999,,OTHER SERVICES
3780,4,INDIVIDUAL AND FAMILY SERVICES,460,FIN ASSIST FOR THE ADMIN OF BENEFIT PROGRAMS,46002,,TOLL FACILITY DEBT SERVICE
3781,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44508,,"FIN ASSIST-PLANNING,ACCESS ROADS & SPECIAL PRJS"
3782,4,INDIVIDUAL AND FAMILY SERVICES,445,FIN ASSIST FOR HEALTH SERVICES,44599,,RAIL INDUSTRIAL ACCESS
3785,4,INDIVIDUAL AND FAMILY SERVICES,460,FIN ASSIST FOR THE ADMIN OF BENEFIT PROGRAMS,46005,,OTHER SERVICES
3786,4,INDIVIDUAL AND FAMILY SERVICES,460,FIN ASSIST FOR THE ADMIN OF BENEFIT PROGRAMS,46099,,COLLECTION AND LOCATOR SERVICES
3789,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44901,,PERSONNEL SERVICES
3790,4,INDIVIDUAL AND FAMILY SERVICES,461,CONTINUING INCOME ASSISTANCE SERVICES,46101,,RESIDENTIAL SERVICES
3791,4,INDIVIDUAL AND FAMILY SERVICES,461,CONTINUING INCOME ASSISTANCE SERVICES,46102,,FINANCIAL ASSISTANCE TO LOCAL PORTS
3792,4,INDIVIDUAL AND FAMILY SERVICES,461,CONTINUING INCOME ASSISTANCE SERVICES,46103,,ARCHITECTURAL AND ENGINEERING SERVICES
3793,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44902,,NURSING MANAGEMENT AND DIRECTION
3794,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44903,,FOOD AND DIETARY SERVICES
3795,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44904,,PLANNING AND EVALUATION SERVICES
3796,4,INDIVIDUAL AND FAMILY SERVICES,461,CONTINUING INCOME ASSISTANCE SERVICES,46104,,TEACHER MANAGEMENT AND DIRECTION
3798,4,INDIVIDUAL AND FAMILY SERVICES,461,CONTINUING INCOME ASSISTANCE SERVICES,46199,,PUBLIC INFORMATION SERVICES
3799,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44905,,VESSEL OPERATION SERVICES
3800,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44906,,LAW ENFORCEMENT TECHNICAL ASSISTANCE
3801,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46201,,FIN ASSIST FOR INDIVIDUAL AND FAMILY SERVICES
3802,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46202,,COASTAL LANDS MANAGEMENT
3803,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46203,,ENVIRONMENTAL RESPONSE & REMEDIATION
3804,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44907,,TOURIST PROMOTION
3805,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44908,,REGULATION OF STRUCTURE SAFETY
3806,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44909,,TOLL FACILITY OPERATIONS
3807,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46204,,2005 TRANSPORTATION INITIATIVE
3808,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46205,,AIR TRANSPORTATION SYSTEM PLANNING
3809,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46206,,EXECUTIVE DISCRETION
3810,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44910,,EXECUTION OF CLAIM SETTLEMENTS
3811,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44911,,LABORATORY SERVICES
3812,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44912,,TAX VALUE ASSISTANCE TO LOCALITIES
3813,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46207,,PHYSICAL PLANT RENTAL AND OFFICE RELOCATION
3814,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46208,,OPERATION AND MAINTENANCE OF PLANT
3815,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46209,,ADMINISTRATIVE AND SUPPORT SERVICES
3816,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44913,,FIN ASSIST FOR PUBLIC EDUCATION (CATEGORICAL)
3817,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44914,,ADMINISTRATIVE AND SUPPORT SERVICES
3818,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44915,,REVERSION CLEARING ACCT-MISCELLANEOUS
3819,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46210,,TEMP EMPLOYEE BENEFIT CLEARING ACCT 10/1-12/31
3820,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46211,,ASSET FORFEITURE/SEIZURE FUND MGMT/FIN ASSIST PGM
3821,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44916,,ADJUDICATION TRAINING/EDUCATION/STANDARDS
3822,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44917,,CLASSIFICATION SERVICES
3823,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44918,,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID)
3824,4,INDIVIDUAL AND FAMILY SERVICES,462,EMPLOYMENT ASSISTANCE SERVICES,46299,,PILOT AND DEMONSTRATION SERVICES
3825,4,INDIVIDUAL AND FAMILY SERVICES,463,CHILD SUPPORT ENFORCEMENT SERVICES,46301,,GERIATRIC CARE SERVICES
3827,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44919,,ALCOHOL ABUSE SERVICES
3828,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44920,,MEDICAL FACILITIES CONSTRUCTION SERVICES
3829,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44921,,HOUSEKEEPING SERVICES
3830,4,INDIVIDUAL AND FAMILY SERVICES,463,CHILD SUPPORT ENFORCEMENT SERVICES,46303,,PLANNING AND EVALUATION SERVICES
3832,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46402,,TEACHER MANAGEMENT AND DIRECTION
3833,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44922,,SOCIAL SERVICES RESEARCH AND PLANNING
3834,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44923,,OTHER SERVICES
3835,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44924,,OTHER SERVICES
3837,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46404,,LOW VISION SERVICES
3839,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44925,,FIN ASSIST FOR CASE MANAGEMENT & RELATED SERVICES
3840,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44926,,"NUTRITIONAL ASSIST-WOMEN, INFANTS & CHILDREN(WIC)"
3841,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44927,,WIN
3842,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44928,,EMPLOYMENT SERVICES
3843,4,INDIVIDUAL AND FAMILY SERVICES,449,ADMINISTRATIVE AND SUPPORT SERVICES,44999,,FINANCIAL ASSISTANCE FOR EMPLOYMENT SERVICES
3844,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46406,,STATE CHILDREN'S HEALTH INSURANCE SERVICES
3845,4,INDIVIDUAL AND FAMILY SERVICES,464,MEDICAL ASSISTANCE SERVICES (NON-MEDICAID),46499,,GENERAL MANAGEMENT AND DIRECTION
3847,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45001,,LINEN AND LAUNDRY SERVICES
3849,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45003,,PROCUREMENT AND DISTRIBUTION SERVICES
3851,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47901,,TRANSPORTATION SERVICES
3852,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47902,,DAY CARE
3853,4,INDIVIDUAL AND FAMILY SERVICES,450,SOCIAL SERVICES RESEARCH/PLANNING/COORDINATION,45099,,SECURITY SERVICES
3856,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47903,,"EMERGENCY ACTION TRAINING, EDUCATION & INFORMATION"
3857,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47904,,OTHER SERVICES
3858,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47905,,OTHER SERVICES
3860,4,INDIVIDUAL AND FAMILY SERVICES,451,STATE ADMINISTRATION FOR STANDARDS OF LIVING SVCS,45104,,FEDERAL RETIREE TAX RESERVE III
3861,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47906,,COMPENSATION TO COUNTY AND CITY CLERKS OF COURT
3862,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47907,,LAND USE ASSESSMENT
3863,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47908,,SECURITY SERVICES
3865,4,INDIVIDUAL AND FAMILY SERVICES,451,STATE ADMINISTRATION FOR STANDARDS OF LIVING SVCS,45110,,AVIATION SAFETY PROMOTION AND EDUCATION
3866,4,INDIVIDUAL AND FAMILY SERVICES,451,STATE ADMINISTRATION FOR STANDARDS OF LIVING SVCS,45199,,AIR TRANSPORTATION PLANNING AND COORDINATION
3868,4,INDIVIDUAL AND FAMILY SERVICES,452,TEMPORARY INCOME SUPPLEMENT SERVICES,45202,,COMPUTER SERVICES
3869,4,INDIVIDUAL AND FAMILY SERVICES,452,TEMPORARY INCOME SUPPLEMENT SERVICES,45203,,MEDICAL AND CLINICAL SERVICES
3870,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47909,,PUBLIC INFORMATION SERVICES
3871,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47910,,VESSEL OPERATION SERVICES
3872,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47911,,STATE AFFAIRS
3873,4,INDIVIDUAL AND FAMILY SERVICES,452,TEMPORARY INCOME SUPPLEMENT SERVICES,45204,,INTERAGENCY SYSTEMS DEVELOPMENT
3874,4,INDIVIDUAL AND FAMILY SERVICES,452,TEMPORARY INCOME SUPPLEMENT SERVICES,45205,,TECHNOLOGY MANAGEMENT AND OVERSIGHT
3875,4,INDIVIDUAL AND FAMILY SERVICES,452,TEMPORARY INCOME SUPPLEMENT SERVICES,45206,,HIGHER EDUCATION TUITION POLICY
3876,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47913,,GENERAL MANAGEMENT & DIRECTION
3877,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47914,,LINEN AND LAUNDRY SERVICES
3878,4,INDIVIDUAL AND FAMILY SERVICES,479,ADMINISTRATIVE AND SUPPORT SERVICES,47915,,NON-POINT SOURCE POLLUTION CONTROL
3879,4,INDIVIDUAL AND FAMILY SERVICES,452,TEMPORARY INCOME SUPPLEMENT SERVICES,45207,,OTHER SERVICES
